"Column 0: 8.3252, Column 1: 41.0, Column 2: 6.984126984126984, Column 3: 1.0238095238095237, Column 4: 322.0, Column 5: 2.5555555555555554, Column 6: 37.88, Column 7: -122.23, Column 8: 4.526 "
"Column 0: 1.9911, Column 1: 50.0, Column 2: 5.343675417661098, Column 3: 1.0859188544152745, Column 4: 990.0, Column 5: 2.3627684964200477, Column 6: 37.84, Column 7: -122.26, Column 8: 1.587 "
"Column 0: 2.6033, Column 1: 52.0, Column 2: 5.465454545454546, Column 3: 1.0836363636363637, Column 4: 690.0, Column 5: 2.5090909090909093, Column 6: 37.84, Column 7: -122.27, Column 8: 1.629 "
"Column 0: 1.3578, Column 1: 40.0, Column 2: 4.524096385542169, Column 3: 1.108433734939759, Column 4: 409.0, Column 5: 2.463855421686747, Column 6: 37.85, Column 7: -122.27, Column 8: 1.475 "
"Column 0: 1.7135, Column 1: 42.0, Column 2: 4.478142076502732, Column 3: 1.0027322404371584, Column 4: 929.0, Column 5: 2.5382513661202184, Column 6: 37.85, Column 7: -122.27, Column 8: 1.598 "
"Column 0: 1.725, Column 1: 52.0, Column 2: 5.096234309623431, Column 3: 1.1317991631799162, Column 4: 1015.0, Column 5: 2.1234309623430963, Column 6: 37.84, Column 7: -122.27, Column 8: 1.139 "
"Column 0: 2.1806, Column 1: 52.0, Column 2: 5.193846153846154, Column 3: 1.0369230769230768, Column 4: 853.0, Column 5: 2.624615384615385, Column 6: 37.84, Column 7: -122.27, Column 8: 0.997 "
"Column 0: 2.6, Column 1: 52.0, Column 2: 5.270142180094787, Column 3: 1.0355450236966826, Column 4: 1006.0, Column 5: 2.3838862559241707, Column 6: 37.84, Column 7: -122.27, Column 8: 1.326 "
"Column 0: 2.4038, Column 1: 41.0, Column 2: 4.495798319327731, Column 3: 1.0336134453781514, Column 4: 317.0, Column 5: 2.6638655462184873, Column 6: 37.85, Column 7: -122.28, Column 8: 1.075 "
"Column 0: 2.4597, Column 1: 49.0, Column 2: 4.7280334728033475, Column 3: 1.0209205020920502, Column 4: 607.0, Column 5: 2.5397489539748954, Column 6: 37.85, Column 7: -122.28, Column 8: 0.938 "
"Column 0: 1.808, Column 1: 52.0, Column 2: 4.7808564231738035, Column 3: 1.0604534005037782, Column 4: 1102.0, Column 5: 2.7758186397984885, Column 6: 37.85, Column 7: -122.28, Column 8: 1.055 "
"Column 0: 1.6424, Column 1: 50.0, Column 2: 4.40169133192389, Column 3: 1.040169133192389, Column 4: 1131.0, Column 5: 2.3911205073995774, Column 6: 37.84, Column 7: -122.28, Column 8: 1.089 "
"Column 0: 1.6875, Column 1: 52.0, Column 2: 4.703225806451613, Column 3: 1.032258064516129, Column 4: 395.0, Column 5: 2.5483870967741935, Column 6: 37.84, Column 7: -122.28, Column 8: 1.32 "
"Column 0: 1.9274, Column 1: 49.0, Column 2: 5.068783068783069, Column 3: 1.1825396825396826, Column 4: 863.0, Column 5: 2.2830687830687832, Column 6: 37.84, Column 7: -122.28, Column 8: 1.223 "
"Column 0: 1.9615, Column 1: 52.0, Column 2: 4.882086167800454, Column 3: 1.090702947845805, Column 4: 1168.0, Column 5: 2.6485260770975056, Column 6: 37.84, Column 7: -122.28, Column 8: 1.152 "
"Column 0: 1.7969, Column 1: 48.0, Column 2: 5.737313432835821, Column 3: 1.2208955223880598, Column 4: 1026.0, Column 5: 3.062686567164179, Column 6: 37.84, Column 7: -122.27, Column 8: 1.104 "
"Column 0: 1.375, Column 1: 49.0, Column 2: 5.0303951367781155, Column 3: 1.1124620060790273, Column 4: 754.0, Column 5: 2.291793313069909, Column 6: 37.83, Column 7: -122.27, Column 8: 1.049 "
"Column 0: 2.7303, Column 1: 51.0, Column 2: 4.972014925373134, Column 3: 1.0708955223880596, Column 4: 1258.0, Column 5: 2.3470149253731343, Column 6: 37.83, Column 7: -122.27, Column 8: 1.097 "
"Column 0: 1.4861, Column 1: 49.0, Column 2: 4.6022727272727275, Column 3: 1.0681818181818181, Column 4: 570.0, Column 5: 2.159090909090909, Column 6: 37.83, Column 7: -122.27, Column 8: 0.972 "
"Column 0: 1.0972, Column 1: 48.0, Column 2: 4.807486631016043, Column 3: 1.1550802139037433, Column 4: 987.0, Column 5: 2.6390374331550803, Column 6: 37.83, Column 7: -122.27, Column 8: 1.045 "
"Column 0: 1.4103, Column 1: 52.0, Column 2: 3.7493796526054592, Column 3: 0.967741935483871, Column 4: 901.0, Column 5: 2.235732009925558, Column 6: 37.83, Column 7: -122.28, Column 8: 1.039 "
"Column 0: 3.48, Column 1: 52.0, Column 2: 4.757281553398058, Column 3: 1.0679611650485437, Column 4: 689.0, Column 5: 2.2297734627831716, Column 6: 37.83, Column 7: -122.26, Column 8: 1.914 "
"Column 0: 2.5898, Column 1: 52.0, Column 2: 3.4942528735632186, Column 3: 1.0272988505747127, Column 4: 1377.0, Column 5: 1.978448275862069, Column 6: 37.83, Column 7: -122.26, Column 8: 1.76 "
"Column 0: 2.0978, Column 1: 52.0, Column 2: 4.215189873417722, Column 3: 1.0607594936708862, Column 4: 946.0, Column 5: 2.3949367088607594, Column 6: 37.83, Column 7: -122.26, Column 8: 1.554 "
"Column 0: 1.2852, Column 1: 51.0, Column 2: 3.7590361445783134, Column 3: 1.248995983935743, Column 4: 517.0, Column 5: 2.076305220883534, Column 6: 37.83, Column 7: -122.26, Column 8: 1.5 "
"Column 0: 1.025, Column 1: 49.0, Column 2: 3.7724867724867726, Column 3: 1.0687830687830688, Column 4: 462.0, Column 5: 2.4444444444444446, Column 6: 37.84, Column 7: -122.26, Column 8: 1.188 "
"Column 0: 3.9643, Column 1: 52.0, Column 2: 4.797979797979798, Column 3: 1.02020202020202, Column 4: 467.0, Column 5: 2.3585858585858586, Column 6: 37.84, Column 7: -122.26, Column 8: 1.888 "
"Column 0: 3.0125, Column 1: 52.0, Column 2: 4.941780821917808, Column 3: 1.0650684931506849, Column 4: 660.0, Column 5: 2.26027397260274, Column 6: 37.83, Column 7: -122.26, Column 8: 1.844 "
"Column 0: 2.6768, Column 1: 52.0, Column 2: 4.335078534031414, Column 3: 1.0994764397905759, Column 4: 718.0, Column 5: 1.8795811518324608, Column 6: 37.83, Column 7: -122.26, Column 8: 1.823 "
"Column 0: 2.026, Column 1: 50.0, Column 2: 3.700657894736842, Column 3: 1.0592105263157894, Column 4: 616.0, Column 5: 2.026315789473684, Column 6: 37.83, Column 7: -122.26, Column 8: 1.425 "
"Column 0: 1.7348, Column 1: 43.0, Column 2: 3.9802371541501977, Column 3: 1.233201581027668, Column 4: 558.0, Column 5: 2.205533596837945, Column 6: 37.82, Column 7: -122.27, Column 8: 1.375 "
"Column 0: 0.9506, Column 1: 40.0, Column 2: 3.9, Column 3: 1.21875, Column 4: 423.0, Column 5: 2.64375, Column 6: 37.82, Column 7: -122.26, Column 8: 1.875 "
"Column 0: 1.775, Column 1: 40.0, Column 2: 2.6875, Column 3: 1.0653409090909092, Column 4: 700.0, Column 5: 1.9886363636363635, Column 6: 37.82, Column 7: -122.27, Column 8: 1.125 "
"Column 0: 0.9218, Column 1: 21.0, Column 2: 2.045662100456621, Column 3: 1.0342465753424657, Column 4: 735.0, Column 5: 1.678082191780822, Column 6: 37.82, Column 7: -122.27, Column 8: 1.719 "
"Column 0: 1.5045, Column 1: 43.0, Column 2: 4.58968058968059, Column 3: 1.1203931203931203, Column 4: 1061.0, Column 5: 2.6068796068796067, Column 6: 37.82, Column 7: -122.27, Column 8: 0.938 "
"Column 0: 1.1108, Column 1: 41.0, Column 2: 4.473611111111111, Column 3: 1.1847222222222222, Column 4: 1959.0, Column 5: 2.720833333333333, Column 6: 37.82, Column 7: -122.27, Column 8: 0.975 "
"Column 0: 1.2475, Column 1: 52.0, Column 2: 4.075, Column 3: 1.14, Column 4: 1162.0, Column 5: 2.905, Column 6: 37.82, Column 7: -122.27, Column 8: 1.042 "
"Column 0: 1.6098, Column 1: 52.0, Column 2: 5.021459227467811, Column 3: 1.0085836909871244, Column 4: 701.0, Column 5: 3.0085836909871246, Column 6: 37.82, Column 7: -122.28, Column 8: 0.875 "
"Column 0: 1.4113, Column 1: 52.0, Column 2: 4.295454545454546, Column 3: 1.1045454545454545, Column 4: 576.0, Column 5: 2.618181818181818, Column 6: 37.82, Column 7: -122.28, Column 8: 0.831 "
"Column 0: 1.5057, Column 1: 52.0, Column 2: 4.77992277992278, Column 3: 1.111969111969112, Column 4: 622.0, Column 5: 2.4015444015444016, Column 6: 37.82, Column 7: -122.28, Column 8: 0.875 "
"Column 0: 0.8172, Column 1: 52.0, Column 2: 6.102459016393443, Column 3: 1.3729508196721312, Column 4: 728.0, Column 5: 2.9836065573770494, Column 6: 37.82, Column 7: -122.28, Column 8: 0.853 "
"Column 0: 1.2171, Column 1: 52.0, Column 2: 4.5625, Column 3: 1.1217105263157894, Column 4: 1074.0, Column 5: 3.5328947368421053, Column 6: 37.82, Column 7: -122.28, Column 8: 0.803 "
"Column 0: 2.5625, Column 1: 2.0, Column 2: 2.7719298245614037, Column 3: 0.7543859649122807, Column 4: 94.0, Column 5: 1.6491228070175439, Column 6: 37.82, Column 7: -122.29, Column 8: 0.6 "
"Column 0: 3.3929, Column 1: 52.0, Column 2: 5.994652406417113, Column 3: 1.1283422459893049, Column 4: 554.0, Column 5: 2.962566844919786, Column 6: 37.83, Column 7: -122.29, Column 8: 0.757 "
"Column 0: 6.1183, Column 1: 49.0, Column 2: 5.869565217391305, Column 3: 1.2608695652173914, Column 4: 86.0, Column 5: 3.739130434782609, Column 6: 37.82, Column 7: -122.29, Column 8: 0.75 "
"Column 0: 0.9011, Column 1: 50.0, Column 2: 6.229508196721311, Column 3: 1.5573770491803278, Column 4: 377.0, Column 5: 3.0901639344262297, Column 6: 37.81, Column 7: -122.29, Column 8: 0.861 "
"Column 0: 1.191, Column 1: 52.0, Column 2: 7.69811320754717, Column 3: 1.490566037735849, Column 4: 521.0, Column 5: 3.2767295597484276, Column 6: 37.81, Column 7: -122.3, Column 8: 0.761 "
"Column 0: 2.5938, Column 1: 48.0, Column 2: 6.225563909774436, Column 3: 1.368421052631579, Column 4: 392.0, Column 5: 2.9473684210526314, Column 6: 37.81, Column 7: -122.3, Column 8: 0.735 "
"Column 0: 1.1667, Column 1: 52.0, Column 2: 5.401069518716578, Column 3: 1.1176470588235294, Column 4: 604.0, Column 5: 3.229946524064171, Column 6: 37.81, Column 7: -122.3, Column 8: 0.784 "
"Column 0: 0.8056, Column 1: 48.0, Column 2: 4.382530120481928, Column 3: 1.0662650602409638, Column 4: 788.0, Column 5: 2.3734939759036147, Column 6: 37.81, Column 7: -122.3, Column 8: 0.844 "
"Column 0: 2.6094, Column 1: 52.0, Column 2: 6.98639455782313, Column 3: 1.6598639455782314, Column 4: 492.0, Column 5: 3.3469387755102042, Column 6: 37.8, Column 7: -122.29, Column 8: 0.813 "
"Column 0: 1.8516, Column 1: 52.0, Column 2: 6.975609756097561, Column 3: 1.329268292682927, Column 4: 274.0, Column 5: 3.341463414634146, Column 6: 37.81, Column 7: -122.3, Column 8: 0.85 "
"Column 0: 0.9802, Column 1: 46.0, Column 2: 4.584288052373159, Column 3: 1.0540098199672667, Column 4: 1823.0, Column 5: 2.983633387888707, Column 6: 37.81, Column 7: -122.29, Column 8: 1.292 "
"Column 0: 1.7719, Column 1: 26.0, Column 2: 6.047244094488189, Column 3: 1.1968503937007875, Column 4: 392.0, Column 5: 3.0866141732283463, Column 6: 37.81, Column 7: -122.29, Column 8: 0.825 "
"Column 0: 0.7286, Column 1: 46.0, Column 2: 3.375451263537906, Column 3: 1.0722021660649819, Column 4: 582.0, Column 5: 2.101083032490975, Column 6: 37.81, Column 7: -122.29, Column 8: 0.952 "
"Column 0: 1.75, Column 1: 49.0, Column 2: 5.552631578947368, Column 3: 1.3421052631578947, Column 4: 560.0, Column 5: 3.6842105263157894, Column 6: 37.81, Column 7: -122.29, Column 8: 0.75 "
"Column 0: 0.4999, Column 1: 46.0, Column 2: 1.7142857142857142, Column 3: 0.5714285714285714, Column 4: 18.0, Column 5: 2.5714285714285716, Column 6: 37.81, Column 7: -122.29, Column 8: 0.675 "
"Column 0: 2.483, Column 1: 20.0, Column 2: 6.2781954887218046, Column 3: 1.2105263157894737, Column 4: 290.0, Column 5: 2.180451127819549, Column 6: 37.81, Column 7: -122.29, Column 8: 1.375 "
"Column 0: 0.9241, Column 1: 17.0, Column 2: 2.8177676537585423, Column 3: 1.0523917995444192, Column 4: 762.0, Column 5: 1.7357630979498861, Column 6: 37.81, Column 7: -122.28, Column 8: 1.775 "
"Column 0: 2.4464, Column 1: 36.0, Column 2: 5.724950884086444, Column 3: 1.1041257367387034, Column 4: 1236.0, Column 5: 2.4282907662082516, Column 6: 37.81, Column 7: -122.28, Column 8: 1.021 "
"Column 0: 1.1111, Column 1: 19.0, Column 2: 5.830917874396135, Column 3: 1.173913043478261, Column 4: 721.0, Column 5: 3.4830917874396135, Column 6: 37.81, Column 7: -122.28, Column 8: 1.083 "
"Column 0: 0.8026, Column 1: 23.0, Column 2: 5.369230769230769, Column 3: 1.1507692307692308, Column 4: 1054.0, Column 5: 3.243076923076923, Column 6: 37.81, Column 7: -122.29, Column 8: 1.125 "
"Column 0: 2.0114, Column 1: 38.0, Column 2: 4.412903225806452, Column 3: 1.135483870967742, Column 4: 344.0, Column 5: 2.2193548387096773, Column 6: 37.8, Column 7: -122.28, Column 8: 1.313 "
"Column 0: 1.5, Column 1: 17.0, Column 2: 3.1972318339100347, Column 3: 1.0, Column 4: 609.0, Column 5: 2.1072664359861593, Column 6: 37.81, Column 7: -122.28, Column 8: 1.625 "
"Column 0: 1.1667, Column 1: 52.0, Column 2: 3.75, Column 3: 1.0, Column 4: 183.0, Column 5: 3.267857142857143, Column 6: 37.81, Column 7: -122.27, Column 8: 1.125 "
"Column 0: 1.5208, Column 1: 52.0, Column 2: 3.9080459770114944, Column 3: 1.1149425287356323, Column 4: 200.0, Column 5: 2.2988505747126435, Column 6: 37.81, Column 7: -122.28, Column 8: 1.125 "
"Column 0: 0.8075, Column 1: 52.0, Column 2: 2.490322580645161, Column 3: 1.0580645161290323, Column 4: 346.0, Column 5: 2.232258064516129, Column 6: 37.81, Column 7: -122.28, Column 8: 1.375 "
"Column 0: 1.8088, Column 1: 35.0, Column 2: 5.609467455621302, Column 3: 1.0887573964497042, Column 4: 467.0, Column 5: 2.7633136094674557, Column 6: 37.81, Column 7: -122.28, Column 8: 1.188 "
"Column 0: 2.4083, Column 1: 52.0, Column 2: 6.721739130434782, Column 3: 1.2434782608695651, Column 4: 377.0, Column 5: 3.2782608695652176, Column 6: 37.81, Column 7: -122.28, Column 8: 0.982 "
"Column 0: 0.977, Column 1: 40.0, Column 2: 2.3157894736842106, Column 3: 1.186842105263158, Column 4: 582.0, Column 5: 1.5315789473684212, Column 6: 37.81, Column 7: -122.27, Column 8: 1.188 "
"Column 0: 0.76, Column 1: 10.0, Column 2: 2.6515151515151514, Column 3: 1.0545454545454545, Column 4: 546.0, Column 5: 1.6545454545454545, Column 6: 37.81, Column 7: -122.27, Column 8: 1.625 "
"Column 0: 0.9722, Column 1: 10.0, Column 2: 2.6923076923076925, Column 3: 1.0769230769230769, Column 4: 125.0, Column 5: 3.2051282051282053, Column 6: 37.8, Column 7: -122.27, Column 8: 1.375 "
"Column 0: 1.2434, Column 1: 52.0, Column 2: 2.929411764705882, Column 3: 0.9176470588235294, Column 4: 396.0, Column 5: 4.658823529411765, Column 6: 37.8, Column 7: -122.27, Column 8: 5.00001 "
"Column 0: 2.0938, Column 1: 16.0, Column 2: 2.74585635359116, Column 3: 1.0828729281767955, Column 4: 800.0, Column 5: 2.2099447513812156, Column 6: 37.8, Column 7: -122.27, Column 8: 1.625 "
"Column 0: 0.8668, Column 1: 52.0, Column 2: 2.4431818181818183, Column 3: 0.9886363636363636, Column 4: 904.0, Column 5: 10.272727272727273, Column 6: 37.8, Column 7: -122.28, Column 8: 1.375 "
"Column 0: 0.75, Column 1: 52.0, Column 2: 2.823529411764706, Column 3: 0.9117647058823529, Column 4: 191.0, Column 5: 5.617647058823529, Column 6: 37.8, Column 7: -122.28, Column 8: 1.625 "
"Column 0: 2.6354, Column 1: 27.0, Column 2: 3.493377483443709, Column 3: 1.1490066225165563, Column 4: 718.0, Column 5: 2.377483443708609, Column 6: 37.79, Column 7: -122.27, Column 8: 1.875 "
"Column 0: 1.8477, Column 1: 39.0, Column 2: 3.6723768736616704, Column 3: 1.3340471092077089, Column 4: 1327.0, Column 5: 2.841541755888651, Column 6: 37.8, Column 7: -122.27, Column 8: 1.792 "
"Column 0: 2.0096, Column 1: 36.0, Column 2: 2.294016358157555, Column 3: 1.066293585880327, Column 4: 3469.0, Column 5: 1.493327593628928, Column 6: 37.8, Column 7: -122.26, Column 8: 1.3 "
"Column 0: 2.8345, Column 1: 31.0, Column 2: 3.8949152542372882, Column 3: 1.1279661016949152, Column 4: 2048.0, Column 5: 1.735593220338983, Column 6: 37.82, Column 7: -122.26, Column 8: 1.838 "
"Column 0: 2.0062, Column 1: 29.0, Column 2: 3.681318681318681, Column 3: 1.1758241758241759, Column 4: 202.0, Column 5: 2.21978021978022, Column 6: 37.81, Column 7: -122.26, Column 8: 1.25 "
"Column 0: 1.2185, Column 1: 22.0, Column 2: 2.9456, Column 3: 1.016, Column 4: 2024.0, Column 5: 1.6192, Column 6: 37.82, Column 7: -122.26, Column 8: 1.7 "
"Column 0: 2.6104, Column 1: 37.0, Column 2: 3.7071428571428573, Column 3: 1.1071428571428572, Column 4: 1838.0, Column 5: 1.8755102040816327, Column 6: 37.82, Column 7: -122.26, Column 8: 1.931 "
"Column 0: 2.4912, Column 1: 29.0, Column 2: 3.7248, Column 3: 1.1312, Column 4: 2304.0, Column 5: 1.8432, Column 6: 37.81, Column 7: -122.25, Column 8: 2.578 "
"Column 0: 3.2177, Column 1: 28.0, Column 2: 3.8784235136940546, Column 3: 1.070808283233133, Column 4: 2563.0, Column 5: 1.7120908483633934, Column 6: 37.81, Column 7: -122.25, Column 8: 2.734 "
"Column 0: 3.125, Column 1: 39.0, Column 2: 3.745614035087719, Column 3: 1.0614035087719298, Column 4: 389.0, Column 5: 1.706140350877193, Column 6: 37.81, Column 7: -122.25, Column 8: 2.375 "
"Column 0: 2.5795, Column 1: 52.0, Column 2: 3.5154975530179446, Column 3: 1.1435562805872757, Column 4: 895.0, Column 5: 1.4600326264274062, Column 6: 37.81, Column 7: -122.25, Column 8: 3.5 "
"Column 0: 2.8406, Column 1: 34.0, Column 2: 3.281721632196758, Column 3: 1.0698714365567357, Column 4: 2689.0, Column 5: 1.5030743432084963, Column 6: 37.81, Column 7: -122.26, Column 8: 3.357 "
"Column 0: 4.9306, Column 1: 52.0, Column 2: 6.184426229508197, Column 3: 0.9221311475409836, Column 4: 674.0, Column 5: 2.762295081967213, Column 6: 37.82, Column 7: -122.24, Column 8: 3.134 "
"Column 0: 3.2727, Column 1: 52.0, Column 2: 4.442982456140351, Column 3: 1.0570175438596492, Column 4: 709.0, Column 5: 1.5548245614035088, Column 6: 37.81, Column 7: -122.24, Column 8: 2.685 "
"Column 0: 3.1691, Column 1: 52.0, Column 2: 4.165876777251185, Column 3: 1.0900473933649288, Column 4: 686.0, Column 5: 1.6255924170616114, Column 6: 37.81, Column 7: -122.25, Column 8: 2.594 "
"Column 0: 3.9, Column 1: 52.0, Column 2: 4.848189415041783, Column 3: 1.0459610027855153, Column 4: 1444.0, Column 5: 2.011142061281337, Column 6: 37.82, Column 7: -122.24, Column 8: 2.757 "
"Column 0: 3.9063, Column 1: 28.0, Column 2: 4.160847880299252, Column 3: 1.0660847880299251, Column 4: 1520.0, Column 5: 1.8952618453865338, Column 6: 37.82, Column 7: -122.25, Column 8: 2.25 "
"Column 0: 5.0917, Column 1: 52.0, Column 2: 5.628458498023716, Column 3: 1.1422924901185771, Column 4: 550.0, Column 5: 2.1739130434782608, Column 6: 37.82, Column 7: -122.25, Column 8: 2.625 "
"Column 0: 2.6429, Column 1: 32.0, Column 2: 3.7270058708414875, Column 3: 1.0743639921722115, Column 4: 1806.0, Column 5: 1.7671232876712328, Column 6: 37.82, Column 7: -122.25, Column 8: 2.185 "
"Column 0: 3.0233, Column 1: 26.0, Column 2: 3.2530813475760065, Column 3: 0.9827444535743632, Column 4: 1749.0, Column 5: 1.4371405094494658, Column 6: 37.82, Column 7: -122.25, Column 8: 2.55 "
"Column 0: 3.1484, Column 1: 52.0, Column 2: 4.578034682080925, Column 3: 1.0770712909441233, Column 4: 939.0, Column 5: 1.8092485549132948, Column 6: 37.83, Column 7: -122.25, Column 8: 2.241 "
"Column 0: 3.4722, Column 1: 35.0, Column 2: 3.822274881516588, Column 3: 1.014218009478673, Column 4: 675.0, Column 5: 1.599526066350711, Column 6: 37.83, Column 7: -122.25, Column 8: 2.431 "
"Column 0: 3.1429, Column 1: 52.0, Column 2: 4.3951890034364265, Column 3: 0.9862542955326461, Column 4: 534.0, Column 5: 1.8350515463917525, Column 6: 37.83, Column 7: -122.25, Column 8: 2.316 "
"Column 0: 2.4234, Column 1: 28.0, Column 2: 3.0234798314268514, Column 3: 1.053582179409994, Column 4: 2558.0, Column 5: 1.5400361228175798, Column 6: 37.83, Column 7: -122.25, Column 8: 2.185 "
"Column 0: 3.0897, Column 1: 52.0, Column 2: 4.040501446480231, Column 3: 1.0655737704918034, Column 4: 1786.0, Column 5: 1.7222757955641272, Column 6: 37.83, Column 7: -122.25, Column 8: 2.341 "
"Column 0: 5.8596, Column 1: 50.0, Column 2: 6.742627345844504, Column 3: 1.0697050938337802, Column 4: 970.0, Column 5: 2.6005361930294906, Column 6: 37.84, Column 7: -122.23, Column 8: 3.276 "
"Column 0: 5.2868, Column 1: 47.0, Column 2: 6.546391752577319, Column 3: 0.9360824742268041, Column 4: 1098.0, Column 5: 2.263917525773196, Column 6: 37.84, Column 7: -122.23, Column 8: 3.476 "
"Column 0: 5.956, Column 1: 41.0, Column 2: 6.851063829787234, Column 3: 1.0797872340425532, Column 4: 794.0, Column 5: 2.1117021276595747, Column 6: 37.83, Column 7: -122.24, Column 8: 3.661 "
"Column 0: 4.9643, Column 1: 37.0, Column 2: 7.1063829787234045, Column 3: 1.148936170212766, Column 4: 98.0, Column 5: 2.0851063829787235, Column 6: 37.85, Column 7: -122.24, Column 8: 3.35 "
"Column 0: 6.3434, Column 1: 52.0, Column 2: 6.947890818858561, Column 3: 1.0198511166253101, Column 4: 1061.0, Column 5: 2.632754342431762, Column 6: 37.85, Column 7: -122.23, Column 8: 3.736 "
"Column 0: 5.1773, Column 1: 52.0, Column 2: 6.358558558558559, Column 3: 1.0342342342342343, Column 4: 1177.0, Column 5: 2.120720720720721, Column 6: 37.84, Column 7: -122.24, Column 8: 3.895 "
"Column 0: 7.2354, Column 1: 52.0, Column 2: 7.11716621253406, Column 3: 0.9945504087193461, Column 4: 901.0, Column 5: 2.455040871934605, Column 6: 37.85, Column 7: -122.24, Column 8: 3.911 "
"Column 0: 5.457, Column 1: 28.0, Column 2: 5.5303347280334725, Column 3: 1.096234309623431, Column 4: 2031.0, Column 5: 2.1244769874476988, Column 6: 37.85, Column 7: -122.22, Column 8: 3.373 "
"Column 0: 7.5, Column 1: 50.0, Column 2: 6.127348643006263, Column 3: 0.9874739039665971, Column 4: 1031.0, Column 5: 2.152400835073069, Column 6: 37.84, Column 7: -122.22, Column 8: 2.952 "
"Column 0: 6.0194, Column 1: 44.0, Column 2: 5.735343383584589, Column 3: 1.0, Column 4: 1358.0, Column 5: 2.274706867671692, Column 6: 37.84, Column 7: -122.21, Column 8: 2.923 "
"Column 0: 7.5544, Column 1: 40.0, Column 2: 7.631498470948012, Column 3: 1.0305810397553516, Column 4: 1616.0, Column 5: 2.470948012232416, Column 6: 37.83, Column 7: -122.21, Column 8: 4.115 "
